------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:05:27 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.afpacket.polls                        | Total                     | 473
capture.afpacket.poll_timeout                 | Total                     | 473
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10000
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
tcp.memuse                                    | Total                     | 6062080
tcp.reassembly_memuse                         | Total                     | 1146880
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:05:35 (uptime: 0d, 00h 00m 16s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 71
capture.afpacket.polls                        | Total                     | 1403
capture.afpacket.poll_timeout                 | Total                     | 1323
capture.afpacket.poll_data                    | Total                     | 80
decoder.pkts                                  | Total                     | 114
decoder.bytes                                 | Total                     | 25537
decoder.ipv4                                  | Total                     | 114
decoder.ethernet                              | Total                     | 114
decoder.tcp                                   | Total                     | 84
tcp.syn                                       | Total                     | 4
tcp.synack                                    | Total                     | 4
decoder.udp                                   | Total                     | 24
decoder.icmpv4                                | Total                     | 6
decoder.avg_pkt_size                          | Total                     | 224
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 4
flow.total                                    | Total                     | 12
flow.active                                   | Total                     | 12
flow.tcp                                      | Total                     | 4
flow.udp                                      | Total                     | 8
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
tcp.sessions                                  | Total                     | 4
tcp.ssn_from_pool                             | Total                     | 4
tcp.segment_from_cache                        | Total                     | 26
tcp.segment_from_pool                         | Total                     | 11
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 2
app_layer.flow.tls                            | Total                     | 3
app_layer.flow.dns_udp                        | Total                     | 8
app_layer.tx.dns_udp                          | Total                     | 24
flow.mgr.full_hash_pass                       | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10000
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
tcp.memuse                                    | Total                     | 6062080
tcp.reassembly_memuse                         | Total                     | 1179648
http.memuse                                   | Total                     | 14789
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:05:43 (uptime: 0d, 00h 00m 24s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2902
capture.afpacket.busy_loop_avg                | Total                     | 1
capture.afpacket.polls                        | Total                     | 15065
capture.afpacket.poll_timeout                 | Total                     | 1829
capture.afpacket.poll_data                    | Total                     | 13236
decoder.pkts                                  | Total                     | 3757
decoder.bytes                                 | Total                     | 4723421
decoder.ipv4                                  | Total                     | 3757
decoder.ethernet                              | Total                     | 3757
decoder.tcp                                   | Total                     | 3689
tcp.syn                                       | Total                     | 8
tcp.synack                                    | Total                     | 8
decoder.udp                                   | Total                     | 54
decoder.icmpv4                                | Total                     | 14
decoder.avg_pkt_size                          | Total                     | 1257
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 8
flow.total                                    | Total                     | 26
flow.active                                   | Total                     | 26
flow.tcp                                      | Total                     | 8
flow.udp                                      | Total                     | 18
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 9
tcp.sessions                                  | Total                     | 8
tcp.ssn_from_pool                             | Total                     | 8
tcp.segment_from_cache                        | Total                     | 729
tcp.segment_from_pool                         | Total                     | 65
tcp.stream_depth_reached                      | Total                     | 1
app_layer.flow.http                           | Total                     | 3
app_layer.tx.http                             | Total                     | 5
app_layer.flow.tls                            | Total                     | 5
app_layer.flow.dns_udp                        | Total                     | 18
app_layer.tx.dns_udp                          | Total                     | 54
flow.mgr.full_hash_pass                       | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9100
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 17
flow.mgr.flows_notimeout                      | Total                     | 17
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
tcp.memuse                                    | Total                     | 6062080
tcp.reassembly_memuse                         | Total                     | 1185792
http.memuse                                   | Total                     | 22023
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:05:51 (uptime: 0d, 00h 00m 32s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 7016
capture.afpacket.busy_loop_avg                | Total                     | 1
capture.afpacket.polls                        | Total                     | 16124
capture.afpacket.poll_timeout                 | Total                     | 2612
capture.afpacket.poll_data                    | Total                     | 13512
decoder.pkts                                  | Total                     | 7016
decoder.bytes                                 | Total                     | 9215262
decoder.ipv4                                  | Total                     | 7016
decoder.ethernet                              | Total                     | 7016
decoder.tcp                                   | Total                     | 6948
tcp.syn                                       | Total                     | 9
tcp.synack                                    | Total                     | 9
tcp.rst                                       | Total                     | 1
decoder.udp                                   | Total                     | 54
decoder.icmpv4                                | Total                     | 14
decoder.avg_pkt_size                          | Total                     | 1313
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 9
flow.total                                    | Total                     | 27
flow.active                                   | Total                     | 27
flow.tcp                                      | Total                     | 9
flow.udp                                      | Total                     | 18
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 9
tcp.sessions                                  | Total                     | 9
tcp.ssn_from_pool                             | Total                     | 9
tcp.segment_from_cache                        | Total                     | 825
tcp.segment_from_pool                         | Total                     | 77
tcp.stream_depth_reached                      | Total                     | 1
app_layer.flow.http                           | Total                     | 3
app_layer.tx.http                             | Total                     | 5
app_layer.flow.tls                            | Total                     | 6
app_layer.flow.dns_udp                        | Total                     | 18
app_layer.tx.dns_udp                          | Total                     | 54
flow.mgr.full_hash_pass                       | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9100
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 26
flow.mgr.flows_notimeout                      | Total                     | 26
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
tcp.memuse                                    | Total                     | 6062080
tcp.reassembly_memuse                         | Total                     | 1204224
http.memuse                                   | Total                     | 336
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:05:59 (uptime: 0d, 00h 00m 40s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 7070
capture.afpacket.busy_loop_avg                | Total                     | 1
capture.afpacket.polls                        | Total                     | 16974
capture.afpacket.poll_timeout                 | Total                     | 3423
capture.afpacket.poll_data                    | Total                     | 13551
decoder.pkts                                  | Total                     | 7070
decoder.bytes                                 | Total                     | 9227348
decoder.ipv4                                  | Total                     | 7070
decoder.ethernet                              | Total                     | 7070
decoder.tcp                                   | Total                     | 6987
tcp.syn                                       | Total                     | 11
tcp.synack                                    | Total                     | 11
tcp.rst                                       | Total                     | 1
decoder.udp                                   | Total                     | 66
decoder.icmpv4                                | Total                     | 17
decoder.avg_pkt_size                          | Total                     | 1305
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 11
flow.total                                    | Total                     | 33
flow.active                                   | Total                     | 33
flow.tcp                                      | Total                     | 11
flow.udp                                      | Total                     | 22
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 10
tcp.sessions                                  | Total                     | 11
tcp.ssn_from_pool                             | Total                     | 11
tcp.segment_from_cache                        | Total                     | 836
tcp.segment_from_pool                         | Total                     | 80
tcp.stream_depth_reached                      | Total                     | 1
app_layer.flow.http                           | Total                     | 4
app_layer.tx.http                             | Total                     | 6
app_layer.flow.tls                            | Total                     | 7
app_layer.flow.dns_udp                        | Total                     | 22
app_layer.tx.dns_udp                          | Total                     | 66
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9000
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 31
flow.mgr.flows_notimeout                      | Total                     | 31
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
tcp.memuse                                    | Total                     | 6062080
tcp.reassembly_memuse                         | Total                     | 1218560
http.memuse                                   | Total                     | 12794
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:06:07 (uptime: 0d, 00h 00m 48s)
